Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
98,Male,45-54 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
99,Male,45-54 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
100,Female,55-64 Years,European,University Degree or Higher,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB01
101,Female,25-34 Years,European,University Degree or Higher,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
102,Male,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
103,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
104,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
105,Female,45-54 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB01
106,Male,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
107,Male,45-54 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
108,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
109,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
110,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
111,Male,25-34 Years,Maori,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
112,Female,35-44 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
113,Male,25-34 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB01
114,Male,45-54 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB01
115,Female,35-44 Years,Maori,No Qualification,Employed Part-time,"$ 5,001 - $10,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB01
116,Male,35-44 Years,Other Ethnicity,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
117,Female,45-54 Years,European,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
118,Male,15-24 Years,Maori,No Qualification,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB01
119,Female,15-24 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
120,Female,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
121,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
122,Female,15-24 Years,Asian,School Qualification,Employed Full-time,"$ 5,000 or Less",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB01
123,Female,65 Years and Over,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB01
124,Female,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
125,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
126,Male,25-34 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
127,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
128,Male,35-44 Years,European,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
129,Female,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
130,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB01
131,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
132,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
133,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
134,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
135,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
136,Female,45-54 Years,European,No Qualification,Not Employed,"$50,001 or More",Not Employed,Not Employed,Regular Smoker,No,Yes,MB01
137,Female,25-34 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
138,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
139,Male,55-64 Years,Maori,No Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
140,Male,25-34 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Walked or Jogged,Ex-Smoker,Yes,Yes,MB01
141,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB01
142,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB01
143,Female,15-24 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB01
144,Male,45-54 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,No,Yes,MB01
145,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB01
146,Female,15-24 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,No,MB01
147,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",20-29 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB01
148,Female,15-24 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
149,Female,55-64 Years,European,No Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
150,Female,15-24 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB01
151,Female,55-64 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Regular Smoker,No,Yes,MB01
152,Female,35-44 Years,Maori,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,No,No,MB01
153,Female,35-44 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB01
154,Male,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB01
155,Male,55-64 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB01
156,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,No,MB01
157,Male,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
158,Male,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB01
159,Female,15-24 Years,Asian,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB01
160,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB01
161,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
162,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
163,Male,35-44 Years,European,No Qualification,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
164,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB01
165,Male,55-64 Years,European,No Qualification,Not Employed,"$50,001 or More",Not Employed,Not Employed,Ex-Smoker,No,No,MB01
166,Male,65 Years and Over,European,School Qualification,Employed Full-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
167,Female,55-64 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB01
168,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB01
169,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB01
170,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB01
171,Female,25-34 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB01
172,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB01
173,Female,65 Years and Over,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB01
174,Male,15-24 Years,Maori,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB01
